"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007005","mitochondrion organization","22/369","349/16221",0.0630372492836676,2.7710764786731,5.10306120940978,1.71678183837214e-05,0.00319210661818613,0.00319210661818613,"AKT3/MLLT11/SAMM50/COA1/DMAC1/TTC19/IMMT/UQCRFS1/GPER1/TOMM70/APOO/NDUFS7/GHITM/MICU1/CHCHD2/CHCHD6/RAP1GDS1/FAM162A/CASP6/MTX2/HIP1R/VPS35",22
"GO:0072522","purine-containing compound biosynthetic process","18/369","254/16221",0.0708661417322835,3.11522949875168,5.18393164499791,2.17023488989537e-05,0.00388207769178525,0.00388207769178524,"NME1/IMPDH2/ATP5MF/ATP5F1C/ACOT7/NDUFAB1/GUCY1B1/ATP5IF1/NDUFS7/ATP5F1B/ATP5MJ/PDK3/NDUFA9/ACACB/NME7/NDUFA7/SDHB/NMNAT2",18
"GO:0006164","purine nucleotide biosynthetic process","15/369","185/16221",0.0810810810810811,3.56427158866183,5.35178227862373,2.22256356399919e-05,0.00388207769178525,0.00388207769178524,"NME1/IMPDH2/ATP5MF/ATP5F1C/NDUFAB1/GUCY1B1/ATP5IF1/NDUFS7/ATP5F1B/ATP5MJ/NDUFA9/NME7/NDUFA7/SDHB/NMNAT2",15
"GO:0009260","ribonucleotide biosynthetic process","14/369","166/16221",0.0843373493975904,3.70741502595749,5.34934120636697,2.68608866998571e-05,0.00455371032170518,0.00455371032170518,"NME1/IMPDH2/ATP5MF/ATP5F1C/NDUFAB1/GUCY1B1/ATP5IF1/NDUFS7/ATP5F1B/ATP5MJ/NDUFA9/NME7/NDUFA7/SDHB",14
"GO:0016236","macroautophagy","22/369","363/16221",0.0606060606060606,2.66420300566642,4.89251295136175,3.13352847498793e-05,0.00508633807021433,0.00508633807021433,"UCHL1/UBXN2A/TP53INP1/SLC25A4/CDC37/PACS2/ATP6V1H/ATP6V1E1/PSMD14/RAB2A/ATP5IF1/CALM1/RTN3/ATP6V1B2/LGALS8/TIMM23/TSG101/ATP2A2/VPS35/NIPSNAP3B/VPS16/ATP6V1G2",22
"GO:0051205","protein insertion into membrane","9/369","71/16221",0.126760563380282,5.5723119203023,5.89081436572723,3.17675521387432e-05,0.00508633807021433,0.00508633807021433,"REEP1/SAMM50/TOMM70/NOMO1/TRAM1L1/WNK1/EMC4/EMC3/MTX2",9
"GO:0051656","establishment of organelle localization","22/369","367/16221",0.0599455040871935,2.63516537072728,4.83416937258621,3.69723574221581e-05,0.00570993686135613,0.00570993686135613,"PDCD6/DNM3/LRPPRC/ACTR10/PDZD11/RAB6A/CDC42/SNAP25/EZR/TUBA1A/CADPS/TSG101/BCCIP/AP3M2/MKKS/DYNC1H1/RAB11A/TRAPPC12/YWHAZ/SNCA/DYNC1I1/CUL3",22
"GO:0042407","cristae formation","5/369","18/16221",0.277777777777778,12.2109304426378,7.26067121038625,3.9791127241364e-05,0.00570993686135613,0.00570993686135613,"SAMM50/IMMT/APOO/MICU1/CHCHD6",5
"GO:0097401","synaptic vesicle lumen acidification","5/369","18/16221",0.277777777777778,12.2109304426378,7.26067121038625,3.9791127241364e-05,0.00570993686135613,0.00570993686135613,"ATP6V1H/ATP6V1E1/ATP6V1B2/ATP6V1F/ATP6V1G2",5
"GO:0046390","ribose phosphate biosynthetic process","14/369","172/16221",0.0813953488372093,3.57808659481944,5.18602148670329,3.98506714886103e-05,0.00570993686135613,0.00570993686135613,"NME1/IMPDH2/ATP5MF/ATP5F1C/NDUFAB1/GUCY1B1/ATP5IF1/NDUFS7/ATP5F1B/ATP5MJ/NDUFA9/NME7/NDUFA7/SDHB",14
