"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"226391_at",-1.00389308810629,8.75318788436472,-9.41738763479507,3.73824212825223e-17,1.30183686854898e-14,28.4272517484295
"203517_at",-1.52671664599725,8.21689671302261,-9.41283822193813,3.84543648834456e-17,1.33054285039806e-14,28.3996695691691
"202868_s_at",-1.23591182750078,7.87729222379129,-9.41184084377616,3.86934271995046e-17,1.33054285039806e-14,28.3936231857943
"204957_at",-1.17767647689312,8.87802515153215,-9.40588216400746,4.0152794880582e-17,1.36787777966379e-14,28.357503921995
"225293_at",1.42946358628701,8.27685478562126,9.40537491516624,4.02795285826923e-17,1.36787777966379e-14,28.3544294808334
"1558854_a_at",1.55202645244305,7.88418324230517,9.40174049582206,4.11992891608131e-17,1.39047600917744e-14,28.3324026451848
"212600_s_at",-1.15774472074587,10.7107546051039,-9.39545798249148,4.28387544448123e-17,1.43693797501234e-14,28.2943326137089
"227944_at",-1.60441029016492,6.3314678981543,-9.37820192271557,4.76835321807295e-17,1.58056639539803e-14,28.1898049677381
"202974_at",-1.17709688879045,8.52869746994946,-9.37773503750604,4.78219244883066e-17,1.58056639539803e-14,28.1869776245353
"203724_s_at",-1.66318796819281,9.69287720898649,-9.37717675694345,4.7987932626625e-17,1.58056639539803e-14,28.1835968680012
"218205_s_at",1.27582831374179,11.0567567558098,9.37566747744359,4.84396022430509e-17,1.58588937283761e-14,28.1744574847557
"204260_at",-2.10961348776675,9.56065795472286,-9.37307217590163,4.92261893307637e-17,1.6020487509878e-14,28.1587427561382
"222380_s_at",1.48910089785418,10.2653296366776,9.37057074848743,4.99963500349555e-17,1.61748546636757e-14,28.1435976622216
"209755_at",-2.10862132293661,8.98267384724538,-9.36700676536962,5.11144137889739e-17,1.64392974936009e-14,28.122021310919
"243442_x_at",1.42087758345148,8.79495529125666,9.3652759378642,5.1666335091186e-17,1.65196308252082e-14,28.1115437616628
"200708_at",-1.40730315983624,9.96528290331954,-9.35655766590552,5.45378549102048e-17,1.7238378286526e-14,28.058776535018
